Series ID,Year,Period,Label,Value
LNU04000000,1977,M08,1977 August,6.8
LNU04000000,1977,M09,1977 September,6.6
LNU04000000,1977,M10,1977 October,6.4
LNU04000000,1977,M11,1977 November,6.5
LNU04000000,1977,M12,1977 December,6
LNU04000000,1978,M01,1978 January,7.1
LNU04000000,1978,M02,1978 February,6.9
LNU04000000,1978,M03,1978 March,6.6
LNU04000000,1978,M04,1978 April,5.8
LNU04000000,1978,M05,1978 May,5.5
LNU04000000,1978,M06,1978 June,6.2
LNU04000000,1978,M07,1978 July,6.3
LNU04000000,1978,M08,1978 August,5.9
LNU04000000,1978,M09,1978 September,5.8
LNU04000000,1978,M10,1978 October,5.4
LNU04000000,1978,M11,1978 November,5.6
LNU04000000,1978,M12,1978 December,5.7
LNU04000000,1979,M01,1979 January,6.4
LNU04000000,1979,M02,1979 February,6.4
LNU04000000,1979,M03,1979 March,6.1
LNU04000000,1979,M04,1979 April,5.5
LNU04000000,1979,M05,1979 May,5.2
LNU04000000,1979,M06,1979 June,6
LNU04000000,1979,M07,1979 July,5.9
LNU04000000,1979,M08,1979 August,5.9
LNU04000000,1979,M09,1979 September,5.7
LNU04000000,1979,M10,1979 October,5.6
LNU04000000,1979,M11,1979 November,5.6
LNU04000000,1979,M12,1979 December,5.7
LNU04000000,1980,M01,1980 January,6.9
LNU04000000,1980,M02,1980 February,6.8
LNU04000000,1980,M03,1980 March,6.6
LNU04000000,1980,M04,1980 April,6.7
LNU04000000,1980,M05,1980 May,7.1
LNU04000000,1980,M06,1980 June,7.8
LNU04000000,1980,M07,1980 July,7.9
LNU04000000,1980,M08,1980 August,7.6
LNU04000000,1980,M09,1980 September,7.2
LNU04000000,1980,M10,1980 October,7.1
LNU04000000,1980,M11,1980 November,7.1
LNU04000000,1980,M12,1980 December,6.9
LNU04000000,1981,M01,1981 January,8.2
LNU04000000,1981,M02,1981 February,8
LNU04000000,1981,M03,1981 March,7.7
LNU04000000,1981,M04,1981 April,7
LNU04000000,1981,M05,1981 May,7.1
LNU04000000,1981,M06,1981 June,7.7
LNU04000000,1981,M07,1981 July,7.3
LNU04000000,1981,M08,1981 August,7.2
LNU04000000,1981,M09,1981 September,7.3
LNU04000000,1981,M10,1981 October,7.5
LNU04000000,1981,M11,1981 November,7.9
LNU04000000,1981,M12,1981 December,8.3
LNU04000000,1982,M01,1982 January,9.4
LNU04000000,1982,M02,1982 February,9.6
LNU04000000,1982,M03,1982 March,9.5
LNU04000000,1982,M04,1982 April,9.2
LNU04000000,1982,M05,1982 May,9.1
LNU04000000,1982,M06,1982 June,9.8
LNU04000000,1982,M07,1982 July,9.8
LNU04000000,1982,M08,1982 August,9.6
LNU04000000,1982,M09,1982 September,9.7
LNU04000000,1982,M10,1982 October,9.9
LNU04000000,1982,M11,1982 November,10.4
LNU04000000,1982,M12,1982 December,10.5
LNU04000000,1983,M01,1983 January,11.4
LNU04000000,1983,M02,1983 February,11.3
LNU04000000,1983,M03,1983 March,10.8
LNU04000000,1983,M04,1983 April,10
LNU04000000,1983,M05,1983 May,9.8
LNU04000000,1983,M06,1983 June,10.2
LNU04000000,1983,M07,1983 July,9.4
LNU04000000,1983,M08,1983 August,9.2
LNU04000000,1983,M09,1983 September,8.8
LNU04000000,1983,M10,1983 October,8.4
LNU04000000,1983,M11,1983 November,8.1
LNU04000000,1983,M12,1983 December,8
LNU04000000,1984,M01,1984 January,8.8
LNU04000000,1984,M02,1984 February,8.4
LNU04000000,1984,M03,1984 March,8.1
LNU04000000,1984,M04,1984 April,7.6
LNU04000000,1984,M05,1984 May,7.2
